
Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum

Tracking for Discrete Weight Sum
teration: 0, Vector: (1 153 ), Value: 1216.0
Function: Discrete Weight Sum, Thread: 6, Iteration: 0, Vector: (10 153 ), Value: 1372.0
Function: Discrete Weight Sum, Thread: 3, Iteration: 10, Vector: (14 31 67 76 85 113 119 130 139 142 153 164 175 179 188 ), Value: 14100.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 0, Vector: (0 14 31 67 73 76 85 113 119 130 139 142 153 164 175 179 188 ), Value: 15193.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 0, Vector: (1 14 31 67 73 76 85 113 119 130 139 142 153 164 175 179 188 ), Value: 15263.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 0, Vector: (2 14 31 67 73 76 85 113 119 130 139 142 153 164 175 179 188 ), Value: 15357.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 0, Vector: (10 14 31 67 73 76 85 113 119 130 139 142 153 164 175 179 188 ), Value: 15419.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 0, Vector: (13 14 31 67 73 76 85 113 119 130 139 142 153 164 175 179 188 ), Value: 15435.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 0, Vector: (14 31 49 67 73 76 85 113 119 130 139 142 153 164 175 179 188 ), Value: 15450.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 0, Vector: (14 31 67 68 73 76 85 113 119 130 139 142 153 164 175 179 188 ), Value: 15453.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 0, Vector: (14 31 67 73 76 85 113 118 119 130 139 142 153 164 175 179 188 ), Value: 15459.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 10, Vector: (4 14 31 67 73 76 85 113 118 119 130 139 142 153 164 175 179 188 ), Value: 16091.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 10, Vector: (14 31 34 67 73 76 85 113 118 119 130 139 142 153 164 175 179 188 ), Value: 16129.0
Function: Discrete Weight Sum, Thread: 9, Iteration: 10, Vector: (14 31 56 67 73 76 85 113 118 119 130 139 142 153 164 175 179 188 ), Value: 16143.0
Function: Discrete Weight Sum, Thread: 5, Iteration: 0, Vector: (14 31 56 67 73 76 85 113 118 119 130 139 142 153 164 175 178 179 188 ), Value: 16248.0
